id;step_ident;question_ident;type;answer
1;Gorgeous Granite Fish Markets quantifying;XSS;File;installation experiences
2;web services Bedfordshire;Congo;String;Electronics dot-com Designer
3;Credit Card Account;Buckinghamshire;Date;payment Fresh Granite
4;Metal;copy Multi-lateral Technician;File;scalable circuit
5;neutral Internal;Gloves;Date;Cloned
6;Metal;digital PNG;String;quantifying
7;leverage Frozen;Indonesia copying Ball;String;withdrawal Berkshire Paradigm
8;Metal Cuban Peso Peso Convertible Usability;calculating Russian Federation District;Date;Wooden Ville
9;Jewelery;haptic;String;Customizable
10;Trace;transmitter Berkshire;Date;content Program Indian Rupee Ngultrum
